"index (g/kwh)","index (lb/mwh)","final co2 (million mt)","Imperial hovertext","SI hovertext","Emissions hovertext","year"
629.9604365637325,1388.8107784484048,2353.860029437351,"1,389 lb/MWh <br>↑ 5.1% from 2005","630 kg/MWh <br>↑ 5.1% from 2005","2,354 Million<br>Metric Tonnes",2001
615.2874805100123,1356.4627795323731,2373.8961736637452,"1,356 lb/MWh <br>↑ 2.7% from 2005","615 kg/MWh <br>↑ 2.7% from 2005","2,374 Million<br>Metric Tonnes",2002
618.3368177898893,1363.1853484995904,2401.07055416896,"1,363 lb/MWh <br>↑ 3.2% from 2005","618 kg/MWh <br>↑ 3.2% from 2005","2,401 Million<br>Metric Tonnes",2003
600.5174772315784,1323.9008303047376,2384.365918838285,"1,324 lb/MWh <br>↑ 0.2% from 2005","601 kg/MWh <br>↑ 0.2% from 2005","2,384 Million<br>Metric Tonnes",2004
599.1261862534353,1320.8335902143233,2429.574538207473,"1,321 lb/MWh <br>↑ 0.0% from 2005","599 kg/MWh <br>↑ 0.0% from 2005","2,430 Million<br>Metric Tonnes",2005
585.5624719716471,1290.9310257086936,2380.0893805496944,"1,291 lb/MWh <br>↓ 2.3% from 2005","586 kg/MWh <br>↓ 2.3% from 2005","2,380 Million<br>Metric Tonnes",2006
588.1340876250331,1296.600409578148,2444.6790094379157,"1,297 lb/MWh <br>↓ 1.8% from 2005","588 kg/MWh <br>↓ 1.8% from 2005","2,445 Million<br>Metric Tonnes",2007
580.2552282479533,1279.2306761954378,2390.2543241467633,"1,279 lb/MWh <br>↓ 3.1% from 2005","580 kg/MWh <br>↓ 3.1% from 2005","2,390 Million<br>Metric Tonnes",2008
550.393086511857,1213.39659852404,2174.2152944339423,"1,213 lb/MWh <br>↓ 8.1% from 2005","550 kg/MWh <br>↓ 8.1% from 2005","2,174 Million<br>Metric Tonnes",2009
558.3735253570622,1230.9902740021796,2303.2079482559884,"1,231 lb/MWh <br>↓ 6.8% from 2005","558 kg/MWh <br>↓ 6.8% from 2005","2,303 Million<br>Metric Tonnes",2010
539.094724729357,1188.4882301383407,2210.2366946811217,"1,188 lb/MWh <br>↓ 10.0% from 2005","539 kg/MWh <br>↓ 10.0% from 2005","2,210 Million<br>Metric Tonnes",2011
513.5853909915575,1132.2503529799874,2078.784351444274,"1,132 lb/MWh <br>↓ 14.3% from 2005","514 kg/MWh <br>↓ 14.3% from 2005","2,079 Million<br>Metric Tonnes",2012
515.8886926651663,1137.328211849626,2097.5201460848,"1,137 lb/MWh <br>↓ 13.9% from 2005","516 kg/MWh <br>↓ 13.9% from 2005","2,098 Million<br>Metric Tonnes",2013
510.22577862092766,1124.8437515476974,2094.3030661766284,"1,125 lb/MWh <br>↓ 14.8% from 2005","510 kg/MWh <br>↓ 14.8% from 2005","2,094 Million<br>Metric Tonnes",2014
481.3382246204368,1061.1582499982146,1969.4049023696004,"1,061 lb/MWh <br>↓ 19.7% from 2005","481 kg/MWh <br>↓ 19.7% from 2005","1,969 Million<br>Metric Tonnes",2015
453.3361487206634,999.4248734695744,1856.5062470396172,"999 lb/MWh <br>↓ 24.3% from 2005","453 kg/MWh <br>↓ 24.3% from 2005","1,857 Million<br>Metric Tonnes",2016
438.61574825615446,966.9722786055182,1779.916488949637,"967 lb/MWh <br>↓ 26.8% from 2005","439 kg/MWh <br>↓ 26.8% from 2005","1,780 Million<br>Metric Tonnes",2017
427.7177306607918,942.9465090147817,1798.006646646182,"943 lb/MWh <br>↓ 28.6% from 2005","428 kg/MWh <br>↓ 28.6% from 2005","1,798 Million<br>Metric Tonnes",2018
