"index (g/kwh)","index (lb/mwh)","final co2 (million mt)","Imperial hovertext","SI hovertext","Emissions hovertext","year"
629.9604133228759,1388.8107272116122,2353.859942597416,"1,389 lb/MWh <br>↑ 5.1% from 2005","630 kg/MWh <br>↑ 5.1% from 2005","2,354 Million<br>Metric Tonnes",2001
615.2874805100123,1356.4627795323731,2373.8961736637452,"1,356 lb/MWh <br>↑ 2.7% from 2005","615 kg/MWh <br>↑ 2.7% from 2005","2,374 Million<br>Metric Tonnes",2002
618.3368177898893,1363.1853484995904,2401.07055416896,"1,363 lb/MWh <br>↑ 3.2% from 2005","618 kg/MWh <br>↑ 3.2% from 2005","2,401 Million<br>Metric Tonnes",2003
600.5174772315784,1323.9008303047376,2384.365918838285,"1,324 lb/MWh <br>↑ 0.2% from 2005","601 kg/MWh <br>↑ 0.2% from 2005","2,384 Million<br>Metric Tonnes",2004
599.1261862534353,1320.8335902143233,2429.574538207473,"1,321 lb/MWh <br>↑ 0.0% from 2005","599 kg/MWh <br>↑ 0.0% from 2005","2,430 Million<br>Metric Tonnes",2005
585.5624719716471,1290.9310257086936,2380.0893805496944,"1,291 lb/MWh <br>↓ 2.3% from 2005","586 kg/MWh <br>↓ 2.3% from 2005","2,380 Million<br>Metric Tonnes",2006
588.1340876250331,1296.600409578148,2444.6790094379157,"1,297 lb/MWh <br>↓ 1.8% from 2005","588 kg/MWh <br>↓ 1.8% from 2005","2,445 Million<br>Metric Tonnes",2007
580.2552282479533,1279.2306761954378,2390.2543241467633,"1,279 lb/MWh <br>↓ 3.1% from 2005","580 kg/MWh <br>↓ 3.1% from 2005","2,390 Million<br>Metric Tonnes",2008
550.3937798017487,1213.398126950935,2174.218033133833,"1,213 lb/MWh <br>↓ 8.1% from 2005","550 kg/MWh <br>↓ 8.1% from 2005","2,174 Million<br>Metric Tonnes",2009
558.3751036798906,1230.9937535726867,2303.214458603484,"1,231 lb/MWh <br>↓ 6.8% from 2005","558 kg/MWh <br>↓ 6.8% from 2005","2,303 Million<br>Metric Tonnes",2010
539.0957923861126,1188.490583894424,2210.2410719714762,"1,188 lb/MWh <br>↓ 10.0% from 2005","539 kg/MWh <br>↓ 10.0% from 2005","2,210 Million<br>Metric Tonnes",2011
513.5861657028718,1132.2520609085511,2078.787487159941,"1,132 lb/MWh <br>↓ 14.3% from 2005","514 kg/MWh <br>↓ 14.3% from 2005","2,079 Million<br>Metric Tonnes",2012
515.8890800417194,1137.3290658599744,2097.5217210953315,"1,137 lb/MWh <br>↓ 13.9% from 2005","516 kg/MWh <br>↓ 13.9% from 2005","2,098 Million<br>Metric Tonnes",2013
510.2397094494708,1124.8744634523034,2094.3388873442727,"1,125 lb/MWh <br>↓ 14.8% from 2005","510 kg/MWh <br>↓ 14.8% from 2005","2,094 Million<br>Metric Tonnes",2014
481.3210077701056,1061.1202937299747,1969.8700895563095,"1,061 lb/MWh <br>↓ 19.7% from 2005","481 kg/MWh <br>↓ 19.7% from 2005","1,970 Million<br>Metric Tonnes",2015
453.3660816382391,999.490863579662,1857.0363217416073,"999 lb/MWh <br>↓ 24.3% from 2005","453 kg/MWh <br>↓ 24.3% from 2005","1,857 Million<br>Metric Tonnes",2016
438.6060799525419,966.950963863374,1780.3912577226006,"967 lb/MWh <br>↓ 26.8% from 2005","439 kg/MWh <br>↓ 26.8% from 2005","1,780 Million<br>Metric Tonnes",2017
427.1785620002937,941.7578577858476,1798.5552585619844,"942 lb/MWh <br>↓ 28.7% from 2005","427 kg/MWh <br>↓ 28.7% from 2005","1,799 Million<br>Metric Tonnes",2018
397.57069107632685,876.4843455468701,1655.9216849209486,"876 lb/MWh <br>↓ 33.6% from 2005","398 kg/MWh <br>↓ 33.6% from 2005","1,656 Million<br>Metric Tonnes",2019
366.85027308218804,808.7581120369917,1486.0436311770493,"809 lb/MWh <br>↓ 38.8% from 2005","367 kg/MWh <br>↓ 38.8% from 2005","1,486 Million<br>Metric Tonnes",2020
380.24983647894203,838.2987895014755,1582.5277505977988,"838 lb/MWh <br>↓ 36.5% from 2005","380 kg/MWh <br>↓ 36.5% from 2005","1,583 Million<br>Metric Tonnes",2021
